epoch,training_accuracy,testing_accuracy,model
1,0.5559006211180124,0.5534883720930233,All Features
2,0.5693581780538303,0.5689922480620155,All Features
3,0.6909937888198758,0.689922480620155,All Features
4,0.7525879917184265,0.7689922480620155,All Features
5,0.7831262939958592,0.8031007751937984,All Features
6,0.7903726708074534,0.7844961240310078,All Features
7,0.7908902691511387,0.7875968992248062,All Features
8,0.7939958592132506,0.7984496124031008,All Features
9,0.8064182194616977,0.8077519379844961,All Features
10,0.8095238095238095,0.813953488372093,All Features
11,0.8157349896480331,0.8155038759689922,All Features
12,0.8178053830227743,0.813953488372093,All Features
13,0.8157349896480331,0.8201550387596899,All Features
14,0.8162525879917184,0.8201550387596899,All Features
15,0.8131469979296067,0.8124031007751938,All Features
16,0.806935817805383,0.8124031007751938,All Features
17,0.8095238095238095,0.8062015503875969,All Features
18,0.8131469979296067,0.8108527131782945,All Features
19,0.812111801242236,0.8093023255813954,All Features
20,0.8105590062111802,0.8077519379844961,All Features
21,0.8136645962732919,0.8108527131782945,All Features
22,0.8146997929606625,0.813953488372093,All Features
23,0.8126293995859213,0.8093023255813954,All Features
24,0.8203933747412008,0.813953488372093,All Features
25,0.8178053830227743,0.813953488372093,All Features
26,0.817287784679089,0.813953488372093,All Features
27,0.8162525879917184,0.813953488372093,All Features
28,0.8183229813664596,0.813953488372093,All Features
29,0.8183229813664596,0.8155038759689922,All Features
30,0.8157349896480331,0.8155038759689922,All Features
31,0.8162525879917184,0.8155038759689922,All Features
32,0.8167701863354038,0.8155038759689922,All Features
33,0.8162525879917184,0.8155038759689922,All Features
34,0.8162525879917184,0.813953488372093,All Features
35,0.8183229813664596,0.813953488372093,All Features
36,0.8183229813664596,0.8124031007751938,All Features
37,0.8188405797101449,0.8124031007751938,All Features
38,0.8188405797101449,0.813953488372093,All Features
39,0.8198757763975155,0.813953488372093,All Features
40,0.8178053830227743,0.8155038759689922,All Features
41,0.8183229813664596,0.8155038759689922,All Features
42,0.8188405797101449,0.8155038759689922,All Features
43,0.8188405797101449,0.8155038759689922,All Features
44,0.8183229813664596,0.8155038759689922,All Features
45,0.8178053830227743,0.8155038759689922,All Features
46,0.817287784679089,0.8155038759689922,All Features
47,0.8188405797101449,0.8155038759689922,All Features
48,0.8183229813664596,0.8155038759689922,All Features
49,0.8183229813664596,0.8155038759689922,All Features
50,0.8183229813664596,0.813953488372093,All Features
51,0.8183229813664596,0.8155038759689922,All Features
52,0.8183229813664596,0.8155038759689922,All Features
53,0.8167701863354038,0.813953488372093,All Features
54,0.817287784679089,0.813953488372093,All Features
55,0.8178053830227743,0.813953488372093,All Features
56,0.8167701863354038,0.8155038759689922,All Features
57,0.8178053830227743,0.8155038759689922,All Features
58,0.8167701863354038,0.8155038759689922,All Features
59,0.817287784679089,0.8170542635658915,All Features
60,0.817287784679089,0.8170542635658915,All Features
61,0.817287784679089,0.8155038759689922,All Features
62,0.8178053830227743,0.8155038759689922,All Features
63,0.8178053830227743,0.8155038759689922,All Features
64,0.817287784679089,0.8155038759689922,All Features
65,0.8178053830227743,0.8155038759689922,All Features
66,0.8178053830227743,0.8155038759689922,All Features
67,0.8178053830227743,0.813953488372093,All Features
68,0.817287784679089,0.813953488372093,All Features
69,0.817287784679089,0.813953488372093,All Features
70,0.817287784679089,0.813953488372093,All Features
71,0.817287784679089,0.813953488372093,All Features
72,0.817287784679089,0.813953488372093,All Features
73,0.817287784679089,0.813953488372093,All Features
74,0.8167701863354038,0.8124031007751938,All Features
75,0.8162525879917184,0.8124031007751938,All Features
1,0.5507246376811594,0.5689922480620155,Top 5 Chi2
2,0.5807453416149069,0.5984496124031008,Top 5 Chi2
3,0.7039337474120083,0.7224806201550388,Top 5 Chi2
4,0.727743271221532,0.7348837209302326,Top 5 Chi2
5,0.7453416149068323,0.7534883720930232,Top 5 Chi2
6,0.7531055900621118,0.7581395348837209,Top 5 Chi2
7,0.7562111801242236,0.7689922480620155,Top 5 Chi2
8,0.7546583850931677,0.765891472868217,Top 5 Chi2
9,0.755175983436853,0.765891472868217,Top 5 Chi2
10,0.7556935817805382,0.765891472868217,Top 5 Chi2
11,0.7556935817805382,0.765891472868217,Top 5 Chi2
12,0.7556935817805382,0.765891472868217,Top 5 Chi2
13,0.7546583850931677,0.765891472868217,Top 5 Chi2
14,0.7556935817805382,0.7674418604651163,Top 5 Chi2
15,0.7556935817805382,0.7674418604651163,Top 5 Chi2
16,0.7556935817805382,0.7674418604651163,Top 5 Chi2
17,0.7556935817805382,0.7674418604651163,Top 5 Chi2
18,0.7556935817805382,0.7674418604651163,Top 5 Chi2
19,0.7556935817805382,0.765891472868217,Top 5 Chi2
20,0.7556935817805382,0.765891472868217,Top 5 Chi2
21,0.7556935817805382,0.765891472868217,Top 5 Chi2
22,0.7556935817805382,0.765891472868217,Top 5 Chi2
23,0.7556935817805382,0.765891472868217,Top 5 Chi2
24,0.7556935817805382,0.765891472868217,Top 5 Chi2
25,0.7556935817805382,0.765891472868217,Top 5 Chi2
26,0.7556935817805382,0.765891472868217,Top 5 Chi2
27,0.7556935817805382,0.765891472868217,Top 5 Chi2
28,0.7556935817805382,0.765891472868217,Top 5 Chi2
29,0.7556935817805382,0.765891472868217,Top 5 Chi2
30,0.7556935817805382,0.765891472868217,Top 5 Chi2
31,0.7556935817805382,0.765891472868217,Top 5 Chi2
32,0.7556935817805382,0.765891472868217,Top 5 Chi2
33,0.7556935817805382,0.765891472868217,Top 5 Chi2
34,0.7556935817805382,0.765891472868217,Top 5 Chi2
35,0.7556935817805382,0.765891472868217,Top 5 Chi2
36,0.7556935817805382,0.765891472868217,Top 5 Chi2
37,0.7556935817805382,0.765891472868217,Top 5 Chi2
38,0.7556935817805382,0.765891472868217,Top 5 Chi2
39,0.7556935817805382,0.765891472868217,Top 5 Chi2
40,0.7556935817805382,0.765891472868217,Top 5 Chi2
41,0.7556935817805382,0.765891472868217,Top 5 Chi2
42,0.7556935817805382,0.765891472868217,Top 5 Chi2
43,0.7556935817805382,0.765891472868217,Top 5 Chi2
44,0.7556935817805382,0.765891472868217,Top 5 Chi2
45,0.7556935817805382,0.765891472868217,Top 5 Chi2
46,0.7556935817805382,0.765891472868217,Top 5 Chi2
47,0.7556935817805382,0.765891472868217,Top 5 Chi2
48,0.7556935817805382,0.765891472868217,Top 5 Chi2
49,0.7556935817805382,0.765891472868217,Top 5 Chi2
50,0.7556935817805382,0.765891472868217,Top 5 Chi2
51,0.7556935817805382,0.765891472868217,Top 5 Chi2
52,0.7556935817805382,0.765891472868217,Top 5 Chi2
53,0.7556935817805382,0.765891472868217,Top 5 Chi2
54,0.7556935817805382,0.765891472868217,Top 5 Chi2
55,0.7556935817805382,0.765891472868217,Top 5 Chi2
56,0.7556935817805382,0.765891472868217,Top 5 Chi2
57,0.7556935817805382,0.765891472868217,Top 5 Chi2
58,0.7556935817805382,0.765891472868217,Top 5 Chi2
59,0.7556935817805382,0.765891472868217,Top 5 Chi2
60,0.7556935817805382,0.765891472868217,Top 5 Chi2
61,0.7556935817805382,0.765891472868217,Top 5 Chi2
62,0.7556935817805382,0.765891472868217,Top 5 Chi2
63,0.7556935817805382,0.765891472868217,Top 5 Chi2
64,0.7556935817805382,0.765891472868217,Top 5 Chi2
65,0.7556935817805382,0.765891472868217,Top 5 Chi2
66,0.7556935817805382,0.765891472868217,Top 5 Chi2
67,0.7556935817805382,0.765891472868217,Top 5 Chi2
68,0.7556935817805382,0.765891472868217,Top 5 Chi2
69,0.7556935817805382,0.765891472868217,Top 5 Chi2
70,0.7556935817805382,0.765891472868217,Top 5 Chi2
71,0.7556935817805382,0.765891472868217,Top 5 Chi2
72,0.7556935817805382,0.765891472868217,Top 5 Chi2
73,0.7556935817805382,0.765891472868217,Top 5 Chi2
74,0.7556935817805382,0.765891472868217,Top 5 Chi2
75,0.7556935817805382,0.765891472868217,Top 5 Chi2
1,0.5559006211180124,0.5534883720930233,Machine Features
2,0.5559006211180124,0.5534883720930233,Machine Features
3,0.6211180124223602,0.6170542635658914,Machine Features
4,0.6350931677018633,0.6248062015503876,Machine Features
5,0.6325051759834368,0.6310077519379845,Machine Features
6,0.6402691511387164,0.6294573643410852,Machine Features
7,0.6780538302277432,0.6511627906976745,Machine Features
8,0.687888198757764,0.641860465116279,Machine Features
9,0.6821946169772257,0.6387596899224807,Machine Features
10,0.6821946169772257,0.641860465116279,Machine Features
11,0.7018633540372671,0.6759689922480621,Machine Features
12,0.6997929606625258,0.6713178294573643,Machine Features
13,0.7287784679089027,0.6992248062015504,Machine Features
14,0.729296066252588,0.7007751937984497,Machine Features
15,0.729296066252588,0.7023255813953488,Machine Features
16,0.7267080745341615,0.7116279069767442,Machine Features
17,0.727743271221532,0.710077519379845,Machine Features
18,0.7287784679089027,0.710077519379845,Machine Features
19,0.729296066252588,0.7224806201550388,Machine Features
20,0.7360248447204969,0.7162790697674418,Machine Features
21,0.7380952380952381,0.7178294573643411,Machine Features
22,0.7386128364389234,0.7193798449612403,Machine Features
23,0.7386128364389234,0.7271317829457364,Machine Features
24,0.7432712215320911,0.7255813953488373,Machine Features
25,0.7453416149068323,0.7255813953488373,Machine Features
26,0.7443064182194618,0.7286821705426356,Machine Features
27,0.7474120082815735,0.7286821705426356,Machine Features
28,0.7453416149068323,0.7271317829457364,Machine Features
29,0.7505175983436853,0.7255813953488373,Machine Features
30,0.7494824016563147,0.7255813953488373,Machine Features
31,0.7520703933747412,0.7255813953488373,Machine Features
32,0.7520703933747412,0.7286821705426356,Machine Features
33,0.7525879917184265,0.7271317829457364,Machine Features
34,0.7520703933747412,0.7271317829457364,Machine Features
35,0.7531055900621118,0.7286821705426356,Machine Features
36,0.7520703933747412,0.7271317829457364,Machine Features
37,0.7541407867494824,0.7286821705426356,Machine Features
38,0.7525879917184265,0.7302325581395349,Machine Features
39,0.7515527950310559,0.7333333333333333,Machine Features
40,0.7505175983436853,0.7317829457364341,Machine Features
41,0.7494824016563147,0.7317829457364341,Machine Features
42,0.7536231884057971,0.7333333333333333,Machine Features
43,0.7489648033126294,0.7348837209302326,Machine Features
44,0.7479296066252588,0.7333333333333333,Machine Features
45,0.7479296066252588,0.7317829457364341,Machine Features
46,0.7494824016563147,0.7317829457364341,Machine Features
47,0.7489648033126294,0.7302325581395349,Machine Features
48,0.7484472049689441,0.7286821705426356,Machine Features
49,0.7484472049689441,0.7286821705426356,Machine Features
50,0.7505175983436853,0.7255813953488373,Machine Features
51,0.7505175983436853,0.7255813953488373,Machine Features
52,0.75,0.7255813953488373,Machine Features
53,0.7510351966873706,0.7255813953488373,Machine Features
54,0.7494824016563147,0.7271317829457364,Machine Features
55,0.7484472049689441,0.7302325581395349,Machine Features
56,0.7489648033126294,0.7302325581395349,Machine Features
57,0.7494824016563147,0.7302325581395349,Machine Features
58,0.7489648033126294,0.7302325581395349,Machine Features
59,0.7494824016563147,0.7317829457364341,Machine Features
60,0.7484472049689441,0.7302325581395349,Machine Features
61,0.7489648033126294,0.7286821705426356,Machine Features
62,0.7474120082815735,0.7271317829457364,Machine Features
63,0.7463768115942029,0.7317829457364341,Machine Features
64,0.7468944099378882,0.7302325581395349,Machine Features
65,0.7468944099378882,0.7302325581395349,Machine Features
66,0.7463768115942029,0.7302325581395349,Machine Features
67,0.7458592132505176,0.7286821705426356,Machine Features
68,0.7453416149068323,0.7302325581395349,Machine Features
69,0.7463768115942029,0.7317829457364341,Machine Features
70,0.7453416149068323,0.7317829457364341,Machine Features
71,0.744824016563147,0.7302325581395349,Machine Features
72,0.744824016563147,0.7302325581395349,Machine Features
73,0.744824016563147,0.7302325581395349,Machine Features
74,0.7463768115942029,0.7286821705426356,Machine Features
75,0.7458592132505176,0.7271317829457364,Machine Features
1,0.5491718426501035,0.5736434108527132,Weather Features
2,0.5491718426501035,0.5736434108527132,Weather Features
3,0.587991718426501,0.5875968992248062,Weather Features
4,0.6092132505175983,0.5953488372093023,Weather Features
5,0.6268115942028986,0.6186046511627907,Weather Features
6,0.6180124223602484,0.6077519379844961,Weather Features
7,0.6226708074534162,0.6124031007751938,Weather Features
8,0.6226708074534162,0.6124031007751938,Weather Features
9,0.6242236024844721,0.6186046511627907,Weather Features
10,0.6237060041407867,0.6186046511627907,Weather Features
11,0.6211180124223602,0.6139534883720931,Weather Features
12,0.6257763975155279,0.6201550387596899,Weather Features
13,0.6195652173913043,0.6186046511627907,Weather Features
14,0.6268115942028986,0.6217054263565891,Weather Features
15,0.6268115942028986,0.6217054263565891,Weather Features
16,0.6268115942028986,0.6217054263565891,Weather Features
17,0.6268115942028986,0.6217054263565891,Weather Features
18,0.6268115942028986,0.6217054263565891,Weather Features
19,0.6268115942028986,0.6217054263565891,Weather Features
20,0.6268115942028986,0.6217054263565891,Weather Features
21,0.6268115942028986,0.6217054263565891,Weather Features
22,0.6268115942028986,0.6217054263565891,Weather Features
23,0.6268115942028986,0.6217054263565891,Weather Features
24,0.6268115942028986,0.6217054263565891,Weather Features
25,0.6268115942028986,0.6217054263565891,Weather Features
26,0.6268115942028986,0.6217054263565891,Weather Features
27,0.6268115942028986,0.6217054263565891,Weather Features
28,0.6268115942028986,0.6217054263565891,Weather Features
29,0.6268115942028986,0.6217054263565891,Weather Features
30,0.6268115942028986,0.6217054263565891,Weather Features
31,0.6268115942028986,0.6217054263565891,Weather Features
32,0.6268115942028986,0.6217054263565891,Weather Features
33,0.6268115942028986,0.6217054263565891,Weather Features
34,0.6268115942028986,0.6217054263565891,Weather Features
35,0.6268115942028986,0.6217054263565891,Weather Features
36,0.6268115942028986,0.6217054263565891,Weather Features
37,0.6268115942028986,0.6217054263565891,Weather Features
38,0.6268115942028986,0.6217054263565891,Weather Features
39,0.6268115942028986,0.6217054263565891,Weather Features
40,0.6268115942028986,0.6217054263565891,Weather Features
41,0.6268115942028986,0.6217054263565891,Weather Features
42,0.6268115942028986,0.6217054263565891,Weather Features
43,0.6268115942028986,0.6217054263565891,Weather Features
44,0.6268115942028986,0.6217054263565891,Weather Features
45,0.6268115942028986,0.6217054263565891,Weather Features
46,0.6268115942028986,0.6217054263565891,Weather Features
47,0.6268115942028986,0.6217054263565891,Weather Features
48,0.6268115942028986,0.6217054263565891,Weather Features
49,0.6268115942028986,0.6217054263565891,Weather Features
50,0.6268115942028986,0.6217054263565891,Weather Features
